"No.","Time","Source","Destination","Protocol","Length","Info"
"805","6.419592","192.168.1.175","224.0.0.251","MDNS","352","Standard query response 0x0000 PTR, cache flush iPhone-90.local PTR, cache flush iPhone-90.local PTR, cache flush iPhone-90.local NSEC, cache flush D.D.5.5.4.A.1.C.B.C.5.D.2.B.C.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 175.1.168.192.in-addr.arpa NSEC, cache flush E.A.D.3.9.6.0.3.0.B.F.6.B.7.0.0.0.0.A.D.3.5.8.0.0.C.F.6.D.0.A.2.ip6.arpa OPT"
"806","6.425592","fe80::cb2:d5cb:c1a4:55dd","ff02::fb","MDNS","372","Standard query response 0x0000 PTR, cache flush iPhone-90.local PTR, cache flush iPhone-90.local PTR, cache flush iPhone-90.local NSEC, cache flush D.D.5.5.4.A.1.C.B.C.5.D.2.B.C.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 175.1.168.192.in-addr.arpa NSEC, cache flush E.A.D.3.9.6.0.3.0.B.F.6.B.7.0.0.0.0.A.D.3.5.8.0.0.C.F.6.D.0.A.2.ip6.arpa OPT"
"807","6.428050","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"808","6.437758","192.168.1.175","224.0.0.251","MDNS","154","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"809","6.437758","fe80::cb2:d5cb:c1a4:55dd","ff02::fb","MDNS","174","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"810","6.437758","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"811","6.437758","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"812","6.447382","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"813","6.447382","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"814","6.457367","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"815","6.469555","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"816","6.469555","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"817","6.479411","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"818","6.479411","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"819","6.490235","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"820","6.499599","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"821","6.499599","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"822","6.509400","206.247.138.14","192.168.1.193","UDP","1085","8801  >  62302 Len=1043"
"823","6.509400","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"824","6.519369","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"825","6.530489","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"826","6.530489","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"827","6.541388","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"828","6.551805","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"829","6.551805","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"830","6.561348","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"831","6.561348","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"832","6.571252","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"833","6.581455","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
"834","6.581455","206.247.138.14","192.168.1.193","UDP","1078","8801  >  62302 Len=1036"
